City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,monchegorsk,67.9397,32.8739,45.03,68,2,1.63,RU,1623026305
275,suez,29.9737,32.5263,66.4,72,0,8.66,EG,1623026305
276,kaeo,-35.1,173.7833,59.32,96,100,12.91,NZ,1623026306
277,agadez,19.75,10.25,89.85,12,100,14.23,NE,1623026306
278,fortuna,40.5982,-124.1573,61.0,58,1,14.97,US,1623026307
279,grandview,38.8858,-94.533,83.88,70,1,5.66,US,1623026307
280,rawson,-43.3002,-65.1023,48.52,53,24,20.49,AR,1623026308
281,kedougou,12.5579,-12.1743,90.18,58,100,2.3,SN,1623026308
282,chikwawa,-16.0335,34.8009,61.07,94,61,2.71,MW,1623026309
283,bafra,41.5678,35.9069,61.83,72,12,4.09,TR,1623026309
284,dandong,40.1292,124.3947,72.34,61,98,3.91,CN,1623026310
285,victoria,22.2855,114.1577,83.97,81,73,3.0,HK,1623026040
286,simoes,-7.5989,-40.8178,71.56,64,33,6.67,BR,1623026311
287,goshen,41.5823,-85.8344,82.49,47,75,14.97,US,1623026311
288,bandrele,-12.9067,45.1914,78.8,78,90,16.11,YT,1623026312
289,kavaratti,10.5669,72.642,81.93,79,100,11.79,IN,1623026312
290,port hardy,50.6996,-127.4199,57.38,67,75,8.05,CA,1623026312
291,pangnirtung,66.1451,-65.7125,27.79,93,88,3.44,CA,1623026313
292,batemans bay,-35.7167,150.1833,61.92,50,39,4.45,AU,1623026192
293,requena,39.4883,-1.1004,59.7,78,0,2.24,ES,1623026314
294,san quintin,30.4833,-115.95,63.77,69,9,10.74,MX,1623026180
295,alvaraes,-3.2208,-64.8042,76.28,85,72,2.53,BR,1623026314
296,yulara,-25.2406,130.9889,53.6,54,45,4.61,AU,1623026315
297,abu samrah,35.3029,37.1841,64.63,43,0,6.6,SY,1623026315
298,petropavlovsk-kamchatskiy,53.0452,158.6483,46.4,93,90,2.24,RU,1623026290
299,tual,-5.6667,132.75,81.59,79,100,14.16,ID,1623026316
300,los llanos de aridane,28.6585,-17.9182,64.15,83,0,13.56,ES,1623026317
301,san ignacio,17.1561,-89.0714,80.74,94,40,6.8,BZ,1623026317
302,chumikan,54.7183,135.315,42.51,82,66,6.89,RU,1623026317
303,hovd,48.0056,91.6419,49.01,43,0,4.65,MN,1623026318
304,pedraza,10.1874,-74.915,78.91,87,100,4.92,CO,1623026318
305,shitkino,56.3703,98.3543,54.32,73,98,11.48,RU,1623026319
306,faya,18.3851,42.4509,69.8,28,0,3.18,SA,1623026319
307,dakoro,14.5106,6.765,81.03,55,100,13.94,NE,1623026320
308,mosta,35.9092,14.4256,69.46,94,0,6.91,MT,1623026320
309,bathsheba,13.2167,-59.5167,80.6,69,40,21.85,BB,1623026321
310,peleduy,59.6289,112.7406,54.3,40,10,12.84,RU,1623026321
311,nunoa,-14.48,-70.6411,39.47,74,5,5.75,PE,1623026322
312,te anau,-45.4167,167.7167,46.6,77,1,0.49,NZ,1623026322
313,east london,-33.0153,27.9116,63.07,39,0,10.47,ZA,1623026323
314,bonavista,48.6499,-53.1147,39.2,81,98,1.14,CA,1623026323
315,goundam,16.4145,-3.6708,91.4,28,1,3.53,ML,1623026324
316,pietersburg,-23.9045,29.4688,45.45,87,69,2.3,ZA,1623026324
317,normandin,48.8333,-72.5321,70.11,64,97,4.61,CA,1623026214
318,yayva,59.3303,57.2641,58.17,84,22,1.05,RU,1623026325
319,zeya,53.75,127.2667,76.03,32,48,4.25,RU,1623026325
320,vanimo,-2.6741,141.3028,79.25,89,99,9.06,PG,1623026326
321,manono,-7.3,27.4167,71.46,59,76,6.8,CD,1623026326
322,itoman,26.1247,127.6694,77.02,90,75,12.66,JP,1623026327
323,kiama,-34.6833,150.8667,65.25,65,94,3.0,AU,1623026327
324,taga,46.95,24.05,53.92,90,7,2.3,RO,1623026328
325,seoul,37.5683,126.9778,72.36,64,75,5.79,KR,1623026328
326,dali,25.7,100.1833,68.43,77,38,3.31,CN,1623026328
327,namtsy,62.7161,129.6658,62.71,62,100,10.49,RU,1623026329
